1::relaxation: inner damping factor,1::relaxation: sweeps,1::relaxation: type,3::relaxation: damping factor,3::relaxation: sweeps,3::relaxation: type,4::relaxation: sweeps,4::relaxation: type,time
0.25,2,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,13.5937
0.5,1,Two-stage Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,13.5983
0.5,2,Two-stage Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,13.6058
0.5,1,Two-stage Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,13.622
0.5,1,Two-stage Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,13.6276
0.5,1,Two-stage Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,13.6515
0.25,2,Two-stage Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,MT Gauss-Seidel,13.671
0.5,2,Two-stage Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,13.6714
0.5,2,Two-stage Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,4,Two-stage Gauss-Seidel,13.6757
0.5,1,Two-stage Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,13.6758
0.5,2,Two-stage Gauss-Seidel,1.0,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,13.6844
0.5,2,Two-stage Gauss-Seidel,0.8,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,13.687
0.5,2,Two-stage Gauss-Seidel,0.8,2,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,13.7053
0.5,2,Two-stage Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,13.7408
0.5,2,Two-stage Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,13.7412
0.5,2,Two-stage Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,13.7469
0.5,2,Two-stage Gauss-Seidel,0.8,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,13.7469
0.75,2,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,13.7915
0.5,2,Two-stage Gauss-Seidel,1.0,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,13.8165
0.5,2,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,13.8384
0.5,2,Two-stage Gauss-Seidel,0.8,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,13.8397
0.75,2,MT Gauss-Seidel,1.0,1,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,13.8658
0.75,2,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,13.8924
0.75,2,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,13.9354
0.5,2,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,13.9437
0.25,2,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,13.9511
0.75,2,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,13.9602
0.5,2,Two-stage Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,Two-stage Gauss-Seidel,14.0875
0.5,2,Two-stage Gauss-Seidel,1.0,1,MT Gauss-Seidel,4,Two-stage Gauss-Seidel,14.0945
0.5,2,Two-stage Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,Two-stage Gauss-Seidel,14.1337
0.25,1,Two-stage Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.4793
0.25,1,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.5459
0.75,1,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.5782
0.25,2,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.5815
0.75,2,MT Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.5969
0.25,1,Two-stage Gauss-Seidel,1.0,1,MT Gauss-Seidel,2,MT Gauss-Seidel,14.6159
0.5,2,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.6191
0.25,2,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,MT Gauss-Seidel,14.622
0.25,2,Two-stage Gauss-Seidel,1.0,1,MT Gauss-Seidel,4,MT Gauss-Seidel,14.633
0.25,1,MT Gauss-Seidel,1.0,2,MT Gauss-Seidel,2,MT Gauss-Seidel,14.6456
0.25,2,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.6485
0.25,1,Two-stage Gauss-Seidel,0.8,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.6581
0.5,1,MT Gauss-Seidel,0.8,1,MT Gauss-Seidel,2,MT Gauss-Seidel,14.6626
0.5,1,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.6655
0.5,2,MT Gauss-Seidel,0.8,1,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.6677
0.25,2,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.669
0.75,1,MT Gauss-Seidel,1.0,1,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.6732
0.25,2,MT Gauss-Seidel,0.8,2,MT Gauss-Seidel,2,MT Gauss-Seidel,14.6776
0.25,1,MT Gauss-Seidel,1.0,2,Two-stage Gauss-Seidel,2,MT Gauss-Seidel,14.6791
